Ticker,Date,Headline,GNW_timestamp_iso
GCTS,5/15/2025,GCT Semiconductor Announces $11 Million Registered Direct Offering,
SILO,5/15/2025,Silo Pharma Announces Pricing of $2 Million Public Offering,2025-05-15 09:15:00 ET
AURA,5/15/2025,Aura Biosciences Announces Proposed Public Offering of Common Stock and Warrants,2025-05-15 06:10:00 ET
TXO,5/13/2025,"TXO Partners, L.P. Announces Commencement of Underwritten Public Offering",
CNSP,5/13/2025,CNS Pharmaceuticals Announces Pricing of $5 Million Public Offering Priced At-The-Market Under Nasdaq Rules,
WAY,5/13/2025,Waystar Announces Proposed Public Offering of Common Stock,
ITP,5/13/2025,IT TECH PACKAGING ANNOUNCES PRICING OF $1.4 MILLION PUBLIC OFFERING,
BNRG,5/13/2025,Brenmiller Energy Ltd. Announces Pricing of $1.5 Million Public Offering,
AEE,5/12/2025,Ameren Announces Public Offering of Common Stock with a Forward Component,
CTMX,5/12/2025,CytomX Therapeutics Announces Pricing of $100 Million Underwritten Offering of Common Stock,2025-05-12 06:50:00 ET
SLE,5/9/2025,"Super League Enterprise, Inc. Announces Pricing of Underwritten Public Offering",
OGS,5/8/2025,"ONE Gas, Inc. Announces Public Offering of 2,500,000 Shares of Common Stock",
VEEE,5/8/2025,Twin Vee PowerCats Announces Proposed Public Offering of Common Stock,
IDA,5/8/2025,"IDACORP, Inc. Announces Public Offering of $450 Million of Shares of Common Stock",
XGN,5/7/2025,Exagen Inc. Announces Proposed Public Offering of Common Stock,2025-05-07 16:05:00 ET
TOVX,5/7/2025,Theriva Biologics Announces Pricing of $7.5 Million Public Offering,2025-05-07 09:17:00 ET
PTN,5/7/2025,Palatin Technologies Announces Pricing of up to $23 Million Public Offering,
NG,5/6/2025,NOVAGOLD Announces Proposed Public Offering of Common Shares,2025-05-06 18:00:00 ET
AUID,5/6/2025,"authID Announces Pricing of Approximately $2,100,000 Million Registered Direct Offering",2025-05-06 15:43:00 ET
KTTA,5/6/2025,Pasithea Therapeutics Announces Pricing of $5 Million Public Offering,2025-05-06 11:10:00 ET
LAES,5/5/2025,SEALSQ Announces Pricing of $20.0 Million Registered Direct Offering,2025-05-05 13:55:00 ET
UMAC,5/5/2025,"Unusual Machines, Inc. Announces Pricing of $40.0 Million Confidentially Marketed Public Offering of Common Stock",
NXL,5/5/2025,Nexalin Technology Announces Pricing of $5.0 Million Public Offering of Common Stock,2025-05-05 08:20:00 ET
PAPL,5/2/2025,Pineapple Financial Inc. (PAPL) Announces Pricing of $1.5 Million Public Offering,
DPRO,5/1/2025,Draganfly Announces Proposed Public Offering of Common Shares & Warrants,2025-05-01 16:05:00 ET
ITRM,4/29/2025,Iterum Therapeutics Announces $5 Million Registered Direct Offering of Ordinary Shares,2025-04-29 08:00:00 ET
LEXX,4/25/2025,Lexaria Announces $2 Million Registered Direct Offering of Common Stock,
INTS,4/25/2025,"Intensity Therapeutics, Inc. Announces $2.35 Million Public Offering",
BCTX,4/24/2025,BriaCell Therapeutics Announces Pricing of $13.8 million Public Offering,2025-04-24 20:00:00 ET
ADC,4/23/2025,Agree Realty Announces Common Stock Offering,
APVO,4/21/2025,Aptevo Therapeutics $2.0 Million Registered Direct Offering Priced At-The-Market Under Nasdaq Rules,
CWD,4/17/2025,Caliber Announces Pricing of the Public Offering Units,
NB,4/17/2025,NioCorp Announces Pricing of $20.0 Million Underwritten Public Offering of Common Shares,
QXO,4/16/2025,QXO Announces Common Stock Offering,
KC,4/16/2025,Kingsoft Cloud Announces Pricing of Public Equity Offering,2025-04-16 09:15:00 ET
OST,4/15/2025,Ostin Technology Group Announces Pricing of $5.0 million Registered Direct Offering,2025-04-15 16:30:00 ET
CUE,4/14/2025,Cue Biopharma Announces Proposed Public Offering,2025-04-14 17:05:00 ET
MRX,4/14/2025,Marex Group plc Announces Launch of a Public Offering,2025-04-14 16:04:00 ET
CANF,4/14/2025,Can-Fite Announces $3.0 Million Registered Direct Offering of American Depositary Shares,2025-04-14 14:28:00 ET
VERO,4/11/2025,Venus Concept Announces $1.5 Million Registered Direct Offering of Common Stock Priced At-The-Market Under Nasdaq Rules,2025-04-11 08:02:00 ET
RCAT,4/10/2025,Red Cat Holdings Announces $30 Million Registered Direct Offering of Common Stock,2025-04-10 07:00:00 ET
VERO,4/9/2025,Venus Concept Announces $1.1 Million Registered Direct Offering of Common Stock Priced At-The-Market Under Nasdaq Rules,2025-04-09 16:35:00 ET
LUCD,4/9/2025,Lucid Diagnostics Announces Proposed Public Offering of Common Stock,
IMUX,4/9/2025,"Immunic, Inc. Announces Pricing of $5.1 Million Registered Direct Offering, Led by Aberdeen Investments",
MOBX,4/4/2025,Mobix Labs Announces $4.0 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,
NMTC,4/3/2025,NeuroOne Medical Technologies Corporation Announces Proposed Public Offering of Common Stock,2025-04-03 16:05:00 ET
SBFM,4/2/2025,Sunshine Biopharma Inc. Announces $2.46 Million Registered Direct Offering Priced at the Market Under Nasdaq Rules,
EWTX,4/2/2025,Edgewise Therapeutics Announces Pricing of $200 Million Underwritten Offering of Common Stock,
GRI,4/1/2025,GRI Bio Announces Pricing of $5.0 Million Public Offering,2025-04-01 11:15:00 ET
CTXR,4/1/2025,Citius Pharmaceuticals Announces $2 Million Registered Direct Offering of Common Stock,
SYNX,3/31/2025,Silynxcom Ltd. Announces Proposed Public Offering of Ordinary Shares,2025-03-31 16:26:00 ET
EE,3/31/2025,Excelerate Energy Announces Proposed Public Offering of Class A Common Stock,
AUID,3/31/2025,"authID Announces Pricing of Approximately $8,150,000 Million Registered Direct Offering",2025-03-31 08:30:00 ET
SRFM,3/31/2025,Surf Air Mobility Announces $5 Million Registered Direct Offering of Common Stock,
ENSC,3/31/2025,"Ensysce Biosciences, Inc. Announces $1.1 Million Registered Direct Offering Priced At-The-Market Under Nasdaq Rules",
LPLA,3/31/2025,LPL Financial Announces Proposed $1.5 Billion Common Stock Offering,2025-03-31 06:56:00 ET
KSCP,3/28/2025,Knightscope Announces $1.7 Million Registered Direct Offering of Common Stock,
XTIA,3/27/2025,XTI Aerospace Announces Proposed Public Offering,
ECX,3/27/2025,"ECARX Holdings Inc. Announces Proposed Offering of 25,000,000 Class A Ordinary Shares",2025-03-27 16:50:00 ET
NIO,3/27/2025,NIO Inc. Announces Proposed Offering of New Shares,
VNRX,3/26/2025,VolitionRx Announces Pricing of up to $2.3 Million Registered Direct Offering,
ICG,3/26/2025,Intchains Group Limited Announces Entry into Agreement for Registered Direct Offering of its ADSs and Warrants,2025-03-26 07:00:00 ET
GWRS,3/25/2025,Global Water Announces Proposed Public Offering of Common Stock,2025-03-25 16:25:00 ET
HUMA,3/25/2025,"Humacyte, Inc. Announces Proposed Public Offering of Common Stock",2025-03-25 16:01:00 ET
GNLX,3/25/2025,Genelux Corporation Announces Pricing of $10.5 Million Underwritten Offering of Common Stock,2025-03-25 08:31:00 ET
IVP,3/25/2025,Inspire Veterinary Partners Announces up to $6.0 Million Registered Direct Offering Priced At-The-Market Under Nasdaq Rules,
BNTC,3/25/2025,Benitec Biopharma Inc. Announces Pricing of $30 Million Common Stock Offering,2025-03-25 08:00:00 ET
AEP,3/24/2025,AEP Announces Public Offering of Common Stock with a Forward Component,
PROP,3/24/2025,Prairie Operating Co. Announces Public Offering of Common Stock,
WLGS,3/24/2025,Wang & Lee Group Announces Pricing of $12.0 Million Registered Direct Offering,2025-03-24 09:00:00 ET
RNAZ,3/23/2025,"TransCode Therapeutics, Inc. Announces Registered Direct Offering Priced At-the-Market Under Nasdaq Rules",
ELAB,3/21/2025,PMGC Holdings Inc. Announces $1.48 Million Registered Direct Offering Priced At-The Market Under Nasdaq Rules,2025-03-21 14:41:00 ET
OCG,3/21/2025,"Outcrop Silver Announces Upsize of Public Offering to $6.5 Million, Led by Investment from Eric Sprott",2025-03-21 13:24:00 ET
OCG,3/21/2025,"Outcrop Silver Announces $5 Million Public Offering of Units, Led by Investment from Eric Sprott",2025-03-21 09:20:00 ET
DC,3/20/2025,Dakota Gold Announces Offering of Common Stock,
AKBA,3/19/2025,Akebia Therapeutics Announces Proposed Public Offering of Common Stock,2025-03-19 16:01:00 ET
REE,3/18/2025,REE Automotive Announces Pricing of $27 Million Registered Direct Offering of Ordinary Shares,2025-03-18 08:15:00 ET
ETR,3/17/2025,Entergy Corporation announces public offering of common stock with a forward component,
CTM,3/14/2025,Castellum Announces Proposed Public Offering of Common Stock and Warrants,2025-03-14 17:30:00 ET
DWTX,3/13/2025,"Dogwood Therapeutics, Inc. Announces Pricing of $4.8 Million Registered Direct Offering of Common Stock Priced At-The-Market Under Nasdaq Rules",2025-03-13 09:00:00 ET
TARS,3/12/2025,Tarsus Announces Proposed $100.0 Million Public Offering,
RKLB,3/11/2025,Rocket Lab Announces “At The Market” (ATM) Equity Offering Program,
FTHM,3/11/2025,Fathom Announces $3.0 Million Registered Direct Offering,
MLYS,3/10/2025,Mineralys Therapeutics Announces Proposed Public Offering of Common Stock,2025-03-10 16:01:00 ET
CDZI,3/7/2025,Cadiz Inc. Announces $20 Million Registered Direct Offering,
ACXP,3/7/2025,"Acurx Pharmaceuticals, Inc. Announces $1.1 Million Registered Direct Offering",
ED,3/4/2025,CON EDISON ANNOUNCES PUBLIC OFFERING OF COMMON SHARES,
LUCD,3/4/2025,Lucid Diagnostics Announces $15.3 Million Registered Direct Offering,
ZTEK,3/3/2025,Zentek Announces US$30 Million At-The-Market Offering in the United States,
TNYA,3/3/2025,Tenaya Therapeutics Announces Proposed Public Offering,2025-03-03 16:10:00 ET
BTAI,3/3/2025,BioXcel Therapeutics Announces $14 Million Registered Direct Offering,2025-03-03 15:33:00 ET
AGMH,3/2/2025,AGM Group Holdings Inc. Announces Pricing of $5.4 Million Public Offering,2025-03-02 22:15:00 ET
SUNE,2/27/2025,SUNation Energy Announces $20 Million Registered Direct Offering Priced at the Market Under Nasdaq Rules,2025-02-27 08:45:00 ET
PDSB,2/27/2025,PDS Biotech Announces up to $22 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,2025-02-27 08:00:00 ET
IONQ,2/26/2025,IonQ Announces At-the-Market Equity Offering Program for up to $500 Million,
MBBC,2/20/2025,"Marathon Bancorp, Inc. Announces Commencement of Stock Offering",
POCI,2/20/2025,Precision Optics Announces Pricing of $5.1 Million Offering of Common Stock to Fund Business Expansion,2025-02-20 09:00:00 ET
INBS,2/19/2025,Intelligent Bio Solutions Inc. Announces Proposed Public Offering of Common Stock,2025-02-19 16:42:00 ET
POAI,2/19/2025,Predictive Oncology Announces Registered Direct Offering Priced At-The-Market Under Nasdaq Rules,2025-02-19 08:00:00 ET
DEC,2/19/2025,Diversified Energy Announces Proposed Offering of Ordinary Shares,2025-02-19 07:30:00 ET
ISO,2/18/2025,IsoEnergy Ltd. Announces Filing of Prospectus Supplement for Upsized Prospectus Offering of Common Shares,
WAY,2/18/2025,Waystar Announces Proposed Public Offering of Common Stock,
LGMK,2/18/2025,"LogicMark, Inc. Announces Pricing of $14.4 Million Public Offering and Plan to Hold Special Stockholder Meeting on March 24, 2025",2025-02-18 09:29:00 ET
PTPI,2/18/2025,Petros Pharmaceuticals Announces Pricing of $9.6 Million Public Offering of Common Stock and Warrants,
RCUS,2/18/2025,"Arcus Biosciences, Inc. Announces Underwritten Offering of Common Stock",
RSLS,2/15/2025,ReShape Lifesciences® Announces Pricing of Upsized $6.0 Million Public Offering,
DBGI,2/13/2025,DBGI Announces Pricing of $7.5 Million Public Offering of Units of Common Stock and/or Pre-Funded Warrants and Warrants,2025-02-13 21:47:00 ET
NPCE,2/13/2025,NeuroPace Announces Proposed Public Offering of $65 Million of Common Stock,2025-02-13 16:34:00 ET
IFRX,2/13/2025,InflaRx Announces Public Offering of Ordinary Shares and Pre-Funded Warrants,2025-02-13 16:01:00 ET
DGLY,2/13/2025,"Digital Ally, Inc. Announces Pricing of $15.0 Million Underwritten Public Offering",2025-02-13 09:00:00 ET
BEAT,2/13/2025,HeartBeam Announces Pricing of $10.0 Million Underwritten Public Offering of Common Stock,
ATAI,2/12/2025,atai Life Sciences Announces Proposed Public Offering of Common Shares,2025-02-12 16:01:00 ET
PRZO,2/12/2025,ParaZero Technologies Ltd. Announces $3.1 Million Registered Direct Offering,2025-02-12 09:00:00 ET
IE,2/11/2025,Ivanhoe Electric Announces Public Offering of Units,
LIXT,2/11/2025,LIXTE Biotechnology Announces $1.05 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,2025-02-11 08:42:00 ET
HYPR,2/11/2025,Hyperfine Announces $6.0 Million Registered Direct Offering,
HLNE,2/10/2025,Hamilton Lane Announces Public Offering of Class A Common Stock,
SERA,2/10/2025,Sera Prognostics Announces Proposed Public Offering,
MNTS,2/10/2025,Momentus Announces $5 Million Offering Priced At-The-Market Under Nasdaq Rules,
FTEL,2/10/2025,Fitell Corporation Announces Updated Registered Direct Offering for up to $10.0 Million,2025-02-10 08:45:00 ET
GDC,2/10/2025,GD Culture Group Limited Announces At-The-Market Equity Offering Program,2025-02-10 08:00:00 ET
INVZ,2/10/2025,Innoviz Announces Pricing of $40 Million Registered Direct Offering,
GDC,2/10/2025,GD Culture Group Limited Announces At-The-Market Equity Offering Program,2025-02-10 08:00:00 ET
MBOT,2/10/2025,Microbot Medical Announces $13 Million Registered Direct Offering Priced At-The-Market under Nasdaq Rules,2025-02-10 08:00:00 ET
FTEL,2/7/2025,Fitell Corporation Announces $10.0 Million Registered Direct Offering,2025-02-07 08:00:00 ET
PROP,2/7/2025,Prairie Operating Co. Announces Public Offering of Common Stock,2025-02-07 06:30:00 ET
STIM,2/6/2025,Neuronetics Announces Launch of Underwritten Public Offering of Common Stock,2025-02-06 16:23:00 ET
RNXT,2/6/2025,RenovoRx Announces Proposed Public Offering,
EFSI,2/6/2025,"Eagle Financial Services, Inc. Announces Launch of Common Stock Offering",
MBIO,2/6/2025,Mustang Bio Announces Pricing of $8 Million Public Offering,2025-02-06 07:00:00 ET
BLTE,2/5/2025,Belite Bio Announces Registered Direct Offering of $15 Million,
CERO,2/5/2025,CERo Therapeutics Announces $5 Million Public Offering Priced At-The-Market Under Nasdaq Rules,2025-02-05 20:00:00 ET
MNR,2/5/2025,Mach Natural Resources LP Announces Launch of Public Offering of Common Units,
GAIA,2/5/2025,Gaia Announces Proposed Underwritten Offering of Common Stock,2025-02-05 16:01:00 ET
SXTP,2/5/2025,60 Degrees Pharma Announces $1.075 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,2025-02-05 09:22:00 ET
VLCN,2/5/2025,"Volcon, Inc. Announces Pricing of $12.0 Million Underwritten Public Offering",
NVCT,2/4/2025,Nuvectis Pharma Announces Proposed Public Offering of Common Stock,2025-02-04 16:05:00 ET
SDA,2/4/2025,SunCar Technology Group Announces Follow-On Public Offering,
AZTR,2/4/2025,Azitra Announces Pricing of $930.0 Thousand Registered Direct Offering of Common Stock,
GCTK,2/4/2025,"Glucotrack, Inc. Announces Pricing of $3.0 Million Public Offering",2025-02-04 12:24:00 ET
BCTX,2/3/2025,BriaCell Therapeutics Announces Proposed Public Offering of Common Shares,2025-02-03 16:45:00 ET
GHRS,2/3/2025,GH Research Announces Proposed Public Offering,2025-02-03 16:03:00 ET
ELUT,2/3/2025,Elutia Announces $15.0 Million Registered Direct Offering,2025-02-03 06:30:00 ET
ANVS,2/3/2025,"Annovis Bio, Inc. Announces Pricing of $21 Million Public Offering",2025-02-03 06:22:00 ET
DHAI,1/31/2025,DIH Announces Pricing of $4.6 Million Public Offering,2025-01-31 09:20:00 ET
ICU,1/31/2025,SeaStar Medical Announces $6 Million Registered Direct Offering Priced At-the-Market,2025-01-31 08:00:00 ET
TRTN,1/30/2025,Triton International Announces Pricing of Public Offering of Series F Preference Shares,
AESI,1/30/2025,Atlas Energy Solutions Announces Commencement of Underwritten Public Offering of Common Stock,
SPCB,1/30/2025,SuperCom Announces Pricing of $6.0 Million Registered Direct Offering,
SVRE,1/30/2025,SaverOne Announces $1.5 Million Registered Direct Offering,2025-01-30 09:09:00 ET
ELTX,1/30/2025,Elicio Therapeutics Announces $10.0 Million Registered Direct Offering Priced At-The-Market Under Nasdaq Rules,2025-01-30 08:00:00 ET
EVAX,1/30/2025,Evaxion announces pricing of $10.8 million public offering,2025-01-30 08:00:00 ET
IMNM,1/29/2025,Immunome Announces Proposed Public Offering of Common Stock,
BFLY,1/29/2025,Butterfly Network Announces Proposed Public Offering of Common Stock,
NB,1/29/2025,NioCorp Announces Pricing of $5.0 Million Underwritten Offering Priced At-The-Market Under Nasdaq Rules,
SXTP,1/29/2025,60 Degrees Pharma Announces $1.043 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,2025-01-29 08:00:00 ET
WLDS,1/28/2025,Wearable Devices Ltd. Announces Pricing of $2.5 Million Public Offering,2025-01-28 20:00:00 ET
SLS,1/28/2025,SELLAS Life Sciences Group Announces $25 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,2025-01-28 15:11:00 ET
LICN,1/28/2025,Lichen China Limited Announces $3.4 Million Registered Direct Offering,
VRPX,1/28/2025,"Virpax Pharmaceuticals, Inc. Announces Pricing of $6 Million Public Offering of Common Stock and Pre-Funded Warrants",
STSS,1/28/2025,"Sharps Technology, Inc. Announces Pricing of Upsized $20.0 Million Underwritten Public Offering",2025-01-28 09:00:00 ET
ETNB,1/27/2025,"89bio, Inc. Announces Proposed Underwritten Public Offering of Common Stock and Pre-Funded Warrants",2025-01-27 16:12:00 ET
AZ,1/27/2025,A2Z Cust2Mate Solutions Corp. Announces Proposed Public Offering,
AKRO,1/27/2025,Akero Therapeutics Announces Proposed Public Offering of Common Stock,2025-01-27 16:01:00 ET
IAUX,1/27/2025,i-80 Gold Announces Filing of Prospectus Supplement for Upsized Prospectus Offering of Common Shares,
SA,1/24/2025,Seabridge Gold Announces Agreement Renewing At-The-Market Offering,
MGLD,1/24/2025,"The Marygold Companies, Inc. Announces Proposed Public Offering of Common Stock",
SGLY,1/24/2025,Singularity Announces Pricing of $1.1 Million Registered Direct Offering,2025-01-24 12:08:00 ET
ALUR,1/24/2025,Allurion to Raise Approximately $7.4 Million of Gross Proceeds in Offering Priced At-the-Market,
UCAR,1/24/2025,U Power Announces Pricing of $5.0 Million Registered Direct Offering,
SDST,1/24/2025,Stardust Power Inc. Announces Pricing of $5.75 Million Public Offering,2025-01-24 08:00:00 ET
AWP,1/23/2025,"abrdn Global Premier Properties Fund Announces ""At-the-Market"" Equity Offering Program",
ICON,1/23/2025,ICON Energy Corp. Announces Pricing of Upsized $12.0 Million Public Offering,2025-01-23 09:20:00 ET
LAKE,1/22/2025,Lakeland Fire + Safety Announces Proposed Public Offering of Common Stock,
EVTL,1/22/2025,Vertical Aerospace Announces Launch of Proposed Underwritten Public Offering,
USEG,1/22/2025,U.S. Energy Corp. Announces Pricing of Underwritten Public Offering Of Common Stock,2025-01-22 08:35:00 ET
HUSA,1/22/2025,"Houston American Energy Corp. Announces $4,420,000 Registered Direct Offering.",2025-01-22 08:30:00 ET
HEPA,1/22/2025,Hepion Pharmaceuticals Announces $9.0 Million Public Offering,2025-01-22 08:00:00 ET
IRON,1/21/2025,Disc Medicine Announces Proposed Public Offering of Common Stock and Pre-Funded Warrants,2025-01-21 16:01:00 ET
CBUS,1/21/2025,"Cibus, Inc. Announces $22.6 Million Registered Direct Offering Priced Above Nasdaq’s Minimum Price in Accordance with Nasdaq Rules",2025-01-21 08:30:00 ET
FLOC,1/17/2025,Genesis Park Joins Global Energy Capital and White Deer Energy to File for Flowco Public Offering,
PHIO,1/16/2025,Phio Pharmaceuticals Announces $1.83 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,
WCT,1/16/2025,Wellchange Holding Company Limited Announces Pricing of $10 Million Public Offering of its Ordinary Shares,2025-01-16 08:44:00 ET
SLXN,1/15/2025,Silexion Therapeutics Announces Pricing of $5.0 Million Public Offering,2025-01-15 20:00:00 ET
GIFT,1/15/2025,"Giftify, Inc.Announces Pricing of $600,000 Public Offering of Common Stock with No Warrants",2025-01-15 09:30:00 ET
LICY,1/15/2025,Li-Cycle Announces Pricing of $15 Million Underwritten Public Offering,
GENI,1/15/2025,Genius Sports Announces Pricing of Public Offering,
PHIO,1/15/2025,Phio Pharmaceuticals Announces $2.5 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,
AZTR,1/14/2025,Azitra Announces Proposed Public Offering of Common Stock,
CLMT,1/14/2025,Calumet Announces $65 Million At-the-Market Equity Offering Program,
PHIO,1/14/2025,Phio Pharmaceuticals Announces $3.19 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,
IVF,1/13/2025,NAYA Biosciences Announces Pricing of $9.5 Million Public Offering,
BHAT,1/13/2025,Blue Hat Announces Pricing of $4.3 Million Registered Direct Offering,2025-01-13 09:15:00 ET
VMAR,1/10/2025,Vision Marine Technologies Secures Over US$11.7 Million Through At-the-Market Offering to Accelerate Growth and Strategic Acquisitions,
KZIA,1/10/2025,Kazia Therapeutics Announces $2.0 Million Registered Direct Offering,
AMLX,1/9/2025,Amylyx Pharmaceuticals Announces Proposed Public Offering of Common Stock,
CLDI,1/8/2025,Calidi Biotherapeutics Announces Proposed Public Offering,2025-01-08 16:01:00 ET
BHAT,1/8/2025,Blue Hat Announces Pricing of $3.9 Million Registered Direct Offering,2025-01-08 09:15:00 ET
DATS,1/8/2025,"DatChat, Inc. Announces Pricing of $5.1 Million Registered Direct Offering Priced At-The Market Under Nasdaq Rules",2025-01-08 08:42:00 ET
CTXR,1/8/2025,Citius Pharmaceuticals Announces $3 Million Registered Direct Offering Priced At-The-Market under Nasdaq Rules,
MBOT,1/8/2025,Microbot Medical Announces $8.6 Million Registered Direct Offering Priced At-The-Market under Nasdaq Rules,2025-01-08 08:00:00 ET
QURE,1/7/2025,uniQure Announces Proposed Public Offering,2025-01-07 16:49:00 ET
KRP,1/7/2025,"Kimbell Royalty Partners, LP Announces Public Offering of Common Units",
XTIA,1/7/2025,"XTI Aerospace, Inc. Announces Offering of Common Stock Priced At-the-Market Under Nasdaq Rules",
ARBE,1/7/2025,Arbe Robotics Ltd. Announces $29 Million Underwritten Registered Direct Offering,2025-01-07 15:45:00 ET
SERV,1/7/2025,Serve Robotics Announces $80 Million Registered Direct Offering of Common Stock,2025-01-07 09:00:00 ET
LFWD,1/7/2025,Lifeward Announces $5 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,2025-01-07 08:05:00 ET
IDAI,1/7/2025,Trust Stamp Announces Pricing of $3.5 Million Registered Direct Offering Priced At-The-Market Under Nasdaq Rules,2025-01-07 08:00:00 ET
ACXP,1/6/2025,"Acurx Pharmaceuticals, Inc. Announces $2.5 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules",
AMST,1/6/2025,Amesite Announces Proposed Public Offering,2025-01-06 16:59:00 ET
INTZ,1/6/2025,Intrusion Inc. Announces $7.5 Million Registered Direct Offering,
MNSO,1/6/2025,MINISO Group Announces Offering of US$550 Million Equity Linked Securities,
BHAT,1/6/2025,Blue Hat Announces Pricing of $4.4 Million Registered Direct Offering,2025-01-06 09:15:00 ET
AEON,1/6/2025,"AEON Biopharma, Inc. Announces Pricing of Approximately $20.0 Million Underwritten Public Offering",2025-01-06 09:00:00 ET
BLRX,1/6/2025,BioLineRx Announces $10 Million Registered Direct Offering,
MBOT,1/6/2025,Microbot Medical Announces $7 Million Registered Direct Offering Priced At-The-Market under Nasdaq Rules,2025-01-06 08:00:00 ET
QSI,1/3/2025,Quantum-Si Incorporated Announces Pricing of $50 Million Registered Direct Offering of Common Stock,
BNGO,1/3/2025,Bionano Announces $10 Million Registered Direct Offering Priced At-the-Market under Nasdaq Rules,2025-01-03 14:34:00 ET
AEI,1/2/2025,Alset Inc. Announces $1.5 Million Registered Direct Offering Priced at the Market Under Nasdaq Rules,2025-01-02 15:28:00 ET
APM,1/2/2025,Aptorum Group Limited Announces Pricing of $3.0 Million Registered Direct Offering,2025-01-02 10:55:00 ET
VERI,1/2/2025,Veritone Announces Pricing of $20.3 Million Registered Direct Offering,
CYN,12/30/2024,Cyngn Inc. Announces Pricing of $9.0 Million Registered Direct Offering Priced At-The-Market,
AMPG,12/30/2024,AmpliTech Group Announces Pricing of $10.0 Million Registered Direct Offering,2024-12-30 09:15:00 ET
LICN,12/30/2024,Lichen China Limited Announces $3.1 Million Registered Direct Offering,
LITM,12/29/2024,Snow Lake Energy Announces Pricing of US$15 Million Public Offering,
CVM,12/27/2024,CEL-SCI Announces Proposed Public Offering of Common Stock,
GXAI,12/27/2024,Gaxos.ai Inc. Announces $4 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,2024-12-27 08:00:00 ET
CTM,12/26/2024,"Castellum, Inc. Announces Proposed Public Offering of Common Stock",2024-12-26 20:00:00 ET
ABAT,12/26/2024,$10M Registered Direct Offering Priced At-The-Market Under Nasdaq Rules,2024-12-26 15:26:00 ET
LICN,12/26/2024,Lichen China Limited Announces $2.8 Million Registered Direct Offering,
AMPG,12/26/2024,AmpliTech Group Announces Pricing of $5.8 Million Registered Direct Offering,2024-12-26 09:15:00 ET
TCRX,12/26/2024,TScan Therapeutics Announces $30 Million Registered Direct Offering at a 37% Premium,2024-12-26 07:00:00 ET
PHIO,12/23/2024,Phio Pharmaceuticals Announces Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,
MGOL,12/23/2024,MGO Global Announces Pricing of Upsized $6.0 Million Public Offering,
GIFT,12/23/2024,"Giftify, Inc. Cancels Registered Direct Offering",2024-12-23 08:00:00 ET
VVOS,12/23/2024,Vivos Therapeutics Announces $3.5 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,2024-12-23 08:00:00 ET
CTM,12/23/2024,"Castellum, Inc. Announces Pricing of $3.6 Million Registered Direct Offering",2024-12-23 06:50:00 ET
GIFT,12/20/2024,"Giftify, Inc. Announces $5.0 Million Registered Direct Offering",2024-12-20 16:00:00 ET
QNRX,12/20/2024,Quoin Pharmaceuticals Announces Pricing of $6.8 Million Public Offering,2024-12-20 09:20:00 ET
CYN,12/20/2024,Cyngn Announces Pricing of $20.0 Million Follow On Offering Priced At-the-Market,
BCAB,12/20/2024,"BioAtla, Inc. Announces Registered Direct Offering to Advance Two Mid-Stage Clinical Programs to Key Inflection Points",2024-12-20 09:00:00 ET
ABAT,12/20/2024,American Battery Technology Company Announces Pricing of $5M Registered Direct Offering,2024-12-20 08:30:00 ET
FNGR,12/20/2024,FingerMotion Announces $5.0 Million Registered Direct Offering,
PHIO,12/19/2024,Phio Pharmaceuticals Announces $1.15 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,
GXAI,12/19/2024,Gaxos.ai Inc. Announces $5 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,2024-12-19 08:00:00 ET
LITM,12/18/2024,Snow Lake Energy Announces Proposed Public Offering,
NWFL,12/17/2024,Norwood Financial Corp Announces Launch of Common Stock Offering,2024-12-17 16:38:00 ET
PESI,12/17/2024,Perma-Fix Announces Proposed Public Offering of Common Stock,2024-12-17 16:05:00 ET
NOTV,12/17/2024,"Inotiv, Inc. Launches Proposed Public Offering of Common Shares",2024-12-17 16:03:00 ET
RIME,12/17/2024,"Algorhythm Holdings, Inc. Announces $2 Million Registered Direct Offering",2024-12-17 14:15:00 ET
MNTS,12/17/2024,Momentus Announces $5 Million Offering Priced At-The-Market Under NASDAQ Rules,
AMPG,12/17/2024,AmpliTech Group Announces Pricing of $3.1 Million Registered Direct Offering,2024-12-17 09:15:00 ET
RVPH,12/16/2024,Reviva Announces Proposed Public Offering,2024-12-16 17:18:00 ET
